,ano,sigla_uf,sigla_partido,valor_receita
0,2010,AC,DEM,163632.87
1,2010,AC,PC do B,1149032.85
2,2010,AC,PDT,333614.19
3,2010,AC,PHS,9085.8
4,2010,AC,PMDB,787973.5
5,2010,AC,PMN,652310.1
6,2010,AC,PP,3482856.55
7,2010,AC,PPS,149440.86
8,2010,AC,PR,469200.2
9,2010,AC,PRB,147240.27
10,2010,AC,PRP,547980.39
11,2010,AC,PRTB,31888.88
12,2010,AC,PSB,644665.89
13,2010,AC,PSC,787824.65
14,2010,AC,PSDB,690517.45
15,2010,AC,PSDC,612933.51
16,2010,AC,PSL,173575.23
17,2010,AC,PT,4129372.98
18,2010,AC,PT do B,87900.0
19,2010,AC,PTB,282580.63
20,2010,AC,PTC,275752.6
21,2010,AC,PTN,128556.91
22,2010,AC,PV,555835.55
23,2010,AL,DEM,884966.09
24,2010,AL,PC do B,453632.81
25,2010,AL,PCB,31180.0
26,2010,AL,PDT,10846391.28
27,2010,AL,PHS,9282.5
28,2010,AL,PMDB,8158580.37
29,2010,AL,PMN,979844.75
30,2010,AL,PP,2610387.32
31,2010,AL,PPS,1081698.13
32,2010,AL,PR,706470.3
33,2010,AL,PRB,162646.6
34,2010,AL,PRP,1038.81
35,2010,AL,PRTB,467727.35
36,2010,AL,PSB,1413448.99
37,2010,AL,PSC,612691.46
38,2010,AL,PSDB,31752079.66
39,2010,AL,PSL,115204.15
40,2010,AL,PSOL,254765.73
41,2010,AL,PT,2114142.19
42,2010,AL,PT do B,995015.94
43,2010,AL,PTB,6537608.37
44,2010,AL,PTC,4206.25
45,2010,AL,PTN,127208.47
46,2010,AL,PV,90222.5
47,2010,AM,DEM,3506650.62
48,2010,AM,PC do B,6655978.33
49,2010,AM,PCB,21050.99
50,2010,AM,PDT,570700.04
51,2010,AM,PHS,257835.0
52,2010,AM,PMDB,9511617.2
53,2010,AM,PMN,16395901.03
54,2010,AM,PP,3070620.86
55,2010,AM,PPS,897883.94
56,2010,AM,PR,12703763.87
57,2010,AM,PRB,14193.0
58,2010,AM,PRP,1162807.57
59,2010,AM,PRTB,743633.36
60,2010,AM,PSB,1781575.94
61,2010,AM,PSC,955387.95
62,2010,AM,PSDB,5841692.02
63,2010,AM,PSDC,101156.94
64,2010,AM,PSL,1526404.6
65,2010,AM,PSOL,7830.0
66,2010,AM,PSTU,1900.0
